category_name,burmese_word,devanagari,english_meaning,source,first_consonant,word_length
Colours,အရောင်များ,अ1यौं2म्या3,Colours,kg_book,အ,10
Colours,ဒါကဘာအရောင်လဲ။,दा2ग1बा2अ1यौं2ले³¹13။,What colour is this?,kg_book,ဒ,14
Colours,အနီရောင်,अ1नि2यौं2,Red,kg_book,အ,8
Colours,အပြာ,अ1प्या2,Blue,kg_book,အ,4
Colours,အဝါရောင်,अ1वा2यौं2,Yellow,kg_book,အ,8
Colours,အစိမ်းရောင်,अ1झेन23यौं2,Green,kg_book,အ,11
Colours,လိမ္မော်ရောင်,लि1म्मा1यौं2,Orange,kg_book,လ,13
Colours,ပန်းရောင်,पं13यौं2,Pink,kg_book,ပ,9
Colours,ခရမ်းရောင်,ख1यं23यौं2,Purple,kg_book,ခ,10
Colours,အညို,अ1ज्ञो2,Brown,kg_book,အ,4
Colours,အဖြူ,अ1फ्यु2,White,kg_book,အ,4
Colours,အနက်ရောင်,अ1नेतयौं2,Black,kg_book,အ,9
Animals,တိရစ္ဆာန်များ,ति1य1स्साम्या3,Animals,kg_book,တ,13
Animals,ဒီတိရစ္ဆာန်ကဘာလဲ။,दि2ति1य1स्साक1बा2ले³¹13။,What is this animal?,kg_book,ဒ,17
Animals,ခွေး,ख्वे3,Dog,kg_book,ခ,4
Animals,ကြောင်,चौं2,Cat,kg_book,က,6
Animals,ခြင်္သေ့,छिं2दे1,Lion,kg_book,ခ,8
Animals,စာငှက်,सा2ङ्हेत,Sparrow,kg_book,စ,6
Animals,ယုန်,यों12,Rabbit,kg_book,ယ,4
Animals,ဝက်,वेत,Pig,kg_book,ဝ,3
Animals,နွားမ,न्वा3म1,Cow,kg_book,န,5
Animals,နွား,न्वा3,Ox,kg_book,န,4
Animals,ဆင်,सिन2,Elephant,kg_book,ဆ,3
Animals,မြင်း,म्यिन3,Horse,kg_book,မ,5
Animals,မျောက်,म्यौ?1,Monkey,kg_book,မ,6
Animals,ဝက်ဝံ,वेतवं32,Bear,kg_book,ဝ,5
Animals,သစ်ကုလားအုတ်,थे?2गु1ला3ओट,Giraffe,kg_book,သ,12
Food,သိုး,थोए,Food,kg_book,သ,4
Food,အစားအသောက်,अ1झा3अ1दौ?1,I'll take it.,kg_book,အ,10
Food,သုပ်,थोप,Salad,kg_book,သ,4
Food,အသားညှပ်ပေါင်မုန့်,अ1दा3जत2बौं2मों11,Sandwich,kg_book,အ,18
Food,ဟမ်ဘာဂါ,हं22बा2गा2,Hamburger,kg_book,ဟ,7
Food,အာလူးချောင်းကြော်,आ2लु3छौं3चौ2,French fries,kg_book,အ,17
Food,ပီဇာ,पि2जा2,Pizza,kg_book,ပ,4
Food,ခေါက်ဆွဲ,खौ?1स्वे³¹13,Pasta,kg_book,ခ,8
Food,မုန့်,मों11,Bread,kg_book,မ,5
Food,ထမင်း,थ1मिन3,cooked rice,kg_book,ထ,5
Food,Couscous,,Couscous,kg_book,,8
Food,ကြက်ဥ,चेतउ1,Egg,kg_book,က,5
Food,ဒိန်ခဲ,देन12गे³¹13,Cheese,kg_book,ဒ,6
Food,ဒိန်ချဥ်,देन12छिन2,Yogurt,kg_book,ဒ,8
Food,ဝက်ပေါင်ခြောက်,वेतबौं2छौ?1,ham,kg_book,ဝ,14
Food,ဝက်အူချောင်း,वेतउ2छौं3,sausage,kg_book,ဝ,12
Food,ငါး,ङा3,Fish,kg_book,င,3
Food,ကြက်သား,चेतदा3,chicken,kg_book,က,7
Food,အမဲသား,अ1मे³¹13दा3,beef,kg_book,အ,6
Vegetables,အသီးအရွက်,अ1दि3अ1य्वेत,Vegetables,kg_book,အ,9
Vegetables,မင်း မစားနိုင်တဲ့ အရာ ရှိလား။,मिन3म1झा3नाइन2दे³¹111अ1या2शि1ला3။,Do you have something you cannot eat,kg_book,မ,29
Vegetables,ခရမ်းချဉ်သီး,ख1यं23छ1,Tomato,kg_book,ခ,12
Vegetables,အာလူး,आ2लु3,Potato,kg_book,အ,5
Vegetables,မုန်လာဥနီ,मों12ला2उ1नि2,Carrot,kg_book,မ,9
Vegetables,ကြက်သွန်နီ,चेतदुन12नि2,Onion,kg_book,က,10
Vegetables,ဂျပန်ကြက်သွန်မြိတ်,ज1बं12चेतदुन12म्यै1,Japanese leek,kg_book,ဂ,18
Vegetables,မှို,म्हो2,Mushroom,kg_book,မ,4
Vegetables,ငရုတ်ပွစိမ်း,ङ1योटप्व1झेन23,Green pepper,kg_book,င,12
Vegetables,မုန်လာဥ,मों12ला2उ1,Radish,kg_book,မ,7
Vegetables,ပဲပင်,पे³¹13बिन2,Legume,kg_book,ပ,5
Vegetables,ဂေါ်ဖီထုပ်,गौ2फि2दोप,Cabbage,kg_book,ဂ,10
Vegetables,Napa ဂေါ်ဖီထုပ်,,Napa cabbage,kg_book,ဂ,15
Vegetables,ဟင်းနုနွယ်ရွက်,हिन3नु1न्वे³¹12य्वेत,Spinach,kg_book,ဟ,14
Vegetables,ဆလတ်ရွက်,स1लत1य्वेत,Lettuce,kg_book,ဆ,8
Vegetables,သခွားသီး,थ1ख्वा3दि3,Cucumber,kg_book,သ,8
Vegetables,ရွှေဖရုံသီး,य्हवे2फ1यों22दि3,Pumpkin,kg_book,ရ,11
Vegetables,ဘရိုကိုလီ,ब1यो2गो2लि2,Broccoli,kg_book,ဘ,9
Fruits,သစ်သီးများ,थे?2दि3म्या3,Fruits,kg_book,သ,10
Fruits,မင်းအကြိုက်ဆုံးအသီးကဘာလဲ။,मिन3अ1चाइझों23अ1दि3ग1बा2ले³¹13။,What is your favorite fruit?,kg_book,မ,25
Fruits,ပန်းသီး,पं13दि3,Apple,kg_book,ပ,7
Fruits,သံပယိုသီး,थं32ब1यो2दि3,Lemon,kg_book,သ,9
Fruits,သရက်သီး,थ1येतदि3,Mango,kg_book,သ,7
Fruits,သလဲသီး,थ1ले³¹13दि3,Pomegranate,kg_book,သ,6
Fruits,စတော်ဘယ်ရီ,स1तौ2बे³¹12रि2,Strawberry,kg_book,စ,10
